GCA_002366395.1.fasta	282
GCA_002366435.1.fasta	121
GCA_002366445.1.fasta	282
GCA_002369795.1.fasta	553
GCA_002766935.1.fasta	71
GCA_002766945.1.fasta	71
GCA_002766955.1.fasta	45
GCA_002766965.1.fasta	71
GCA_002767055.1.fasta	261
GCA_002767065.1.fasta	265
GCA_002767115.1.fasta	71
GCA_002767125.1.fasta	71
GCA_002767135.1.fasta	71
GCA_002767145.1.fasta	71
GCA_002767245.1.fasta	45
GCA_002767295.1.fasta	71
GCA_002767355.1.fasta	71
GCA_002767365.1.fasta	45
GCA_002767375.1.fasta	71
GCA_002767445.1.fasta	71
GCA_002767475.1.fasta	71
GCA_002767485.1.fasta	71
GCA_002767495.1.fasta	71
GCA_002767575.1.fasta	71
GCA_002767605.1.fasta	45
GCA_002767615.1.fasta	261
GCA_002767625.1.fasta	334
GCA_002767695.1.fasta	45
GCA_002767705.1.fasta	71
GCA_002767765.1.fasta	336
GCA_002767795.1.fasta	258
GCA_002767805.1.fasta	258
GCA_002767815.1.fasta	261
GCA_002767885.1.fasta	71
GCA_002767915.1.fasta	71
GCA_002767925.1.fasta	71
GCA_002767945.1.fasta	307
GCA_002767985.1.fasta	350
GCA_002768035.1.fasta	71
GCA_002768045.1.fasta	350
GCA_002768095.1.fasta	258
GCA_002768105.1.fasta	258
GCA_002768155.1.fasta	342
GCA_002768205.1.fasta	71
GCA_002768215.1.fasta	258
GCA_002768225.1.fasta	45
GCA_002768275.1.fasta	277
GCA_002768335.1.fasta	346
GCA_002768345.1.fasta	261
GCA_002768355.1.fasta	312
GCA_002768365.1.fasta	258
GCA_002768435.1.fasta	265
GCA_002768455.1.fasta	45
GCA_002768475.1.fasta	71
GCA_002847165.1.fasta	888
GCA_002847175.1.fasta	889
GCA_002847205.1.fasta	887
GCA_002847225.1.fasta	886
GCA_002847235.1.fasta	885
GCA_002847265.1.fasta	890
GCA_002902125.1.fasta	494
GCA_002922545.1.fasta	71
GCA_002922555.1.fasta	45
GCA_002922565.1.fasta	71
GCA_002922575.1.fasta	64
GCA_002922625.1.fasta	84
GCA_002922635.1.fasta	71
GCA_002922645.1.fasta	71
GCA_002922675.1.fasta	45
GCA_002922705.1.fasta	71
GCA_002950775.1.fasta	2005
GCA_002976235.1.fasta	930
GCA_002976255.1.fasta	45
GCA_002976305.1.fasta	924
GCA_003185065.1.fasta	71
GCA_003185075.1.fasta	497
GCA_003185095.1.fasta	525
GCA_003185105.1.fasta	71
GCA_003185145.1.fasta	71
GCA_003185165.1.fasta	-
GCA_003185175.1.fasta	497
GCA_003185195.1.fasta	71
GCA_003185215.1.fasta	496
GCA_003185225.1.fasta	316
GCA_003185255.1.fasta	45
GCA_003185285.1.fasta	258
GCA_003185295.1.fasta	45
GCA_003185305.1.fasta	45
GCA_003185325.1.fasta	547
GCA_003185365.1.fasta	496
GCA_003185385.1.fasta	501
GCA_003185395.1.fasta	84
GCA_003185425.1.fasta	71
GCA_003185445.1.fasta	500
GCA_003185455.1.fasta	45
GCA_003185465.1.fasta	498
GCA_003185485.1.fasta	316
GCA_003185525.1.fasta	71
GCA_003185535.1.fasta	-
GCA_003185555.1.fasta	64
GCA_003185565.1.fasta	499
GCA_003185605.1.fasta	283
GCA_003185615.1.fasta	316
GCA_003185635.1.fasta	64
GCA_003185785.1.fasta	498
GCA_003185815.1.fasta	496
GCA_003337115.1.fasta	718
GCA_003383635.1.fasta	64
GCA_003383655.1.fasta	64
GCA_003383685.1.fasta	64
GCA_003383735.1.fasta	751
GCA_003383745.1.fasta	496
GCA_003383795.1.fasta	64
GCA_003383805.1.fasta	525
GCA_003383815.1.fasta	64
GCA_003383845.1.fasta	496
GCA_003383875.1.fasta	-
GCA_003383905.1.fasta	-
GCA_003383915.1.fasta	749
GCA_003383925.1.fasta	496
GCA_003383975.1.fasta	496
GCA_003383985.1.fasta	64
GCA_003383995.1.fasta	68
GCA_003627735.1.fasta	71
GCA_004001305.1.fasta	2141
GCA_004166335.1.fasta	749
GCA_004166345.1.fasta	749
GCA_004166355.1.fasta	496
GCA_004166375.1.fasta	71
GCA_004166385.1.fasta	496
GCA_004166435.1.fasta	84
GCA_004166445.1.fasta	71
GCA_004166455.1.fasta	498
GCA_004166465.1.fasta	64
GCA_004166495.1.fasta	1173
GCA_004166535.1.fasta	84
GCA_004166545.1.fasta	258
GCA_004166555.1.fasta	71
GCA_004166575.1.fasta	1172
GCA_004166595.1.fasta	84
GCA_004166635.1.fasta	277
GCA_004166645.1.fasta	71
GCA_004166665.1.fasta	71
GCA_004166685.1.fasta	71
GCA_004166695.1.fasta	1171
GCA_004166735.1.fasta	71
GCA_004166755.1.fasta	71
GCA_004166765.1.fasta	496
GCA_004166775.1.fasta	496
GCA_004166785.1.fasta	496
GCA_004166835.1.fasta	71
GCA_004166855.1.fasta	71
GCA_004166865.1.fasta	71
GCA_004166875.1.fasta	64
GCA_004307335.1.fasta	1045
GCA_004307355.1.fasta	879
